Palavra,Link,Instituicao
90,https://media.spreadthesign.com/video/mp4/14/549435.mp4,Spread the Sign
91,https://media.spreadthesign.com/video/mp4/14/549439.mp4,Spread the Sign
92,https://media.spreadthesign.com/video/mp4/14/549440.mp4,Spread the Sign
93,https://media.spreadthesign.com/video/mp4/14/549441.mp4,Spread the Sign
94,https://media.spreadthesign.com/video/mp4/14/549442.mp4,Spread the Sign
95,https://media.spreadthesign.com/video/mp4/14/549443.mp4,Spread the Sign
96,https://media.spreadthesign.com/video/mp4/14/549444.mp4,Spread the Sign
97,https://media.spreadthesign.com/video/mp4/14/549445.mp4,Spread the Sign
98,https://media.spreadthesign.com/video/mp4/14/549446.mp4,Spread the Sign
99,https://media.spreadthesign.com/video/mp4/14/549447.mp4,Spread the Sign
a maior parte,https://media.spreadthesign.com/video/mp4/14/549456.mp4,Spread the Sign
a serio,https://media.spreadthesign.com/video/mp4/14/549461.mp4,Spread the Sign
a. C.,https://media.spreadthesign.com/video/mp4/14/549463.mp4,Spread the Sign
abominar,https://media.spreadthesign.com/video/mp4/14/654705.mp4,Spread the Sign
aborrecido,https://media.spreadthesign.com/video/mp4/14/549473.mp4,Spread the Sign
abracar,https://media.spreadthesign.com/video/mp4/14/401185.mp4,Spread the Sign
abraco,https://media.spreadthesign.com/video/mp4/14/436424.mp4,Spread the Sign
